hotel_name,check_in_date,check_out_date,price,extra_charges,address,price_div_content,hotel_url,input_hotel_name,input_check_in_date,input_check_out_date
Le Meridien Kochi,Sat 10 Feb,Sun 11 Feb,8750,"+₹ 1,575 taxes and charges","Maradu, Ernakulam, 682304 Cochin, India","Deluxe King Room with 10% F & B discount 1 extra-large double bed The spacious double room features a private bathroom, air conditioning, a minibar, as well as a seating area with a flat-screen TV. This double room has a tea and coffee maker, a safe deposit box and a TV. The unit offers 1 bed. 31 m² View Air conditioning Private bathroom Flat-screen TV Minibar Free WiFi Free toiletries Shower Bathrobe Safety deposit box Towels Linen Desk Seating Area TV Slippers Tea/Coffee maker Hairdryer Wake-up service Toilet paper Max persons: 2 ₹ 8,750 Price ₹ 8,750 +₹ 1,575 taxes and charges Fabulous breakfast ₹ 885 • Total cost to cancel No prepayment needed – pay at the property • Only 5 rooms left on our site Meals Continental breakfast costs ₹ 885 per person per night. Lunch costs ₹ 2,177 per person per night. Dinner costs ₹ 1,769 per person per night. Breakfast rated 8.9 - based on 37 reviews. Cancellation • Total cost to cancel Please note, if cancelled, modified or in case of no-show, the total price of the reservation will be charged. Prepayment No prepayment needed – pay at the property No prepayment is needed. Select rooms 0 1 (₹ 8,750) 2 (₹ 17,500) 3 (₹ 26,250) 4 (₹ 35,000) 5 (₹ 43,750)",https://www.booking.com/hotel/in/le-meridien-kochi.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYAQm4ARnIAQzYAQHoAQH4AQuIAgGoAgO4ArvwmK4GwAIB0gIkY2ZlMDE5NTctNDc1OS00M2EyLWJkNTItZTE2Y2JkN2FkYTg42AIG4AIB&sid=35e3b28fbfa5ab6420356fcf7ab00646&aid=304142&ucfs=1&arphpl=1&checkin=2024-02-10&checkout=2024-02-11&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=8c37328454ac0191&srepoch=1707549067&soh=1&from_sustainable_property_sr=1&from=searchresults#no_availability_msg,Le Meridien Kochi,2024-02-10,2024-02-11
Taj Kumarakom Resort and Spa Kerala,Sat 10 Feb,Sun 11 Feb,19000,"+₹ 3,420 taxes and charges","1/404, Kumarakom, Kottayam, 686563 Kumarakom, India","Heritage Room Lagoon/pool View King Bed Only 1 room left on our site 1 extra-large double bed Overlooking the pool, air-conditioned rooms come with a 32-inch flat-screen TV, minibar and personal safe. DVD players are available upon request. Bathroom has a bathtub. 49 m² Minibar Free WiFi Tea/Coffee maker Wireless Internet Max persons: 2 ₹ 19,000 Price ₹ 19,000 +₹ 3,420 taxes and charges Breakfast ₹ 750 (optional) • Non-refundable Meals Breakfast costs ₹ 750 per person per night. Lunch costs ₹ 1,200 per person per night. Dinner costs ₹ 1,300 per person per night. Breakfast rated 2.5 - based on 1 reviews. Cancellation • Non-refundable Please note, if cancelled, modified or in case of no-show, the total price of the reservation will be charged. Prepayment You will be charged a prepayment of the total price at any time. Select rooms 0 1 (₹ 19,000)",https://www.booking.com/hotel/in/taj-garden-retreat-kottayam.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYAQm4ARnIAQzYAQHoAQH4AQuIAgGoAgO4ArvwmK4GwAIB0gIkY2ZlMDE5NTctNDc1OS00M2EyLWJkNTItZTE2Y2JkN2FkYTg42AIG4AIB&sid=35e3b28fbfa5ab6420356fcf7ab00646&aid=304142&ucfs=1&arphpl=1&checkin=2024-02-10&checkout=2024-02-11&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=1d2632840e4200da&srepoch=1707549067&soh=1&from_sustainable_property_sr=1&from=searchresults#no_availability_msg,Taj Kumarakom,2024-02-10,2024-02-11
